BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance

!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)
!
! Unless mentioned otherwise, we assumed:
! photon count integration (caracteristic of CCDs)
!  UKIDSS filter system


!  t (Gyr) =   0.0005
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   3.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.070  1650.   -4.27  5.38  0.090    0.000  15.17  16.28  13.95  12.87  12.04  
 0.072  1793.   -4.11  5.38  0.091    0.000  14.40  15.52  13.14  12.32  11.69  
 0.075  2052.   -3.87  5.39  0.092    0.000  13.49  14.67  12.17  11.62  11.31  
 0.080  2343.   -3.58  5.35  0.099    0.000  12.27  13.41  11.36  10.92  10.64  
 0.090  2644.   -3.25  5.29  0.113    0.000  11.48  12.33  10.70  10.21   9.90  
 0.100  2810.   -3.06  5.25  0.124    0.000  11.01  11.70  10.30   9.79   9.48  
 0.200  3261.   -2.32  5.07  0.217    0.000   9.19   9.64   8.63   8.09   7.83  
 0.300  3416.   -1.97  4.97  0.295    0.000   8.36   8.76   7.83   7.28   7.03  
 0.400  3520.   -1.71  4.89  0.375    0.000   7.73   8.10   7.22   6.64   6.41  
 0.500  3679.   -1.45  4.80  0.464    0.000   7.10   7.44   6.61   6.01   5.80  
 0.600  3974.   -1.15  4.72  0.559    0.000   6.45   6.74   5.98   5.34   5.17  
 0.700  4407.   -0.85  4.67  0.643    0.000   5.78   6.02   5.35   4.73   4.63  
 0.800  4859.   -0.57  4.61  0.731    0.001   5.14   5.33   4.78   4.29   4.21  
 0.900  5270.   -0.31  4.55  0.838    0.070   4.57   4.72   4.26   3.87   3.81  
 1.000  5661.   -0.06  4.47  0.966    0.306   4.04   4.16   3.78   3.45   3.41  
 1.100  5974.    0.17  4.36  1.143    0.574   3.52   3.61   3.29   3.01   2.97  
 1.200  6191.    0.39  4.25  1.366    0.770   3.04   3.12   2.82   2.58   2.54  
 1.300  6177.    0.56  4.11  1.671    0.880   2.61   2.69   2.39   2.14   2.11  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   4.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.070  1631.   -4.29  5.38  0.090    0.000  15.24  16.35  14.04  12.94  12.08  
 0.072  1790.   -4.12  5.38  0.091    0.000  14.42  15.54  13.16  12.33  11.69  
 0.075  2041.   -3.88  5.39  0.092    0.000  13.54  14.72  12.21  11.66  11.33  
 0.080  2343.   -3.58  5.35  0.099    0.000  12.27  13.41  11.36  10.92  10.64  
 0.090  2644.   -3.25  5.29  0.113    0.000  11.48  12.32  10.70  10.21   9.90  
 0.100  2811.   -3.06  5.25  0.124    0.000  11.01  11.69  10.30   9.79   9.48  
 0.200  3262.   -2.32  5.06  0.217    0.000   9.19   9.64   8.63   8.09   7.83  
 0.300  3416.   -1.97  4.97  0.297    0.000   8.35   8.75   7.82   7.26   7.02  
 0.400  3520.   -1.71  4.89  0.376    0.000   7.72   8.10   7.21   6.64   6.40  
 0.500  3680.   -1.45  4.80  0.465    0.000   7.10   7.44   6.61   6.00   5.79  
 0.600  3979.   -1.15  4.72  0.561    0.000   6.44   6.73   5.97   5.33   5.16  
 0.700  4418.   -0.85  4.66  0.646    0.000   5.76   6.00   5.34   4.72   4.62  
 0.800  4878.   -0.56  4.61  0.736    0.000   5.11   5.30   4.76   4.27   4.19  
 0.900  5297.   -0.29  4.53  0.850    0.068   4.53   4.67   4.22   3.83   3.77  
 1.000  5697.   -0.03  4.44  0.994    0.306   3.96   4.08   3.70   3.38   3.34  
 1.100  5996.    0.23  4.32  1.204    0.574   3.40   3.49   3.16   2.89   2.86  
 1.200  6053.    0.43  4.17  1.491    0.770   2.91   3.00   2.68   2.42   2.38  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   5.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.070  1627.   -4.30  5.38  0.090    0.000  15.25  16.36  14.06  12.95  12.09  
 0.072  1790.   -4.12  5.38  0.091    0.000  14.43  15.54  13.16  12.34  11.69  
 0.075  2038.   -3.89  5.39  0.091    0.000  13.55  14.73  12.23  11.67  11.34  
 0.080  2343.   -3.58  5.35  0.099    0.000  12.28  13.41  11.36  10.92  10.64  
 0.090  2644.   -3.25  5.29  0.113    0.000  11.48  12.32  10.70  10.21   9.90  
 0.100  2811.   -3.06  5.25  0.124    0.000  11.01  11.69  10.30   9.78   9.48  
 0.200  3262.   -2.32  5.06  0.218    0.000   9.19   9.64   8.63   8.09   7.83  
 0.300  3416.   -1.96  4.96  0.299    0.000   8.33   8.74   7.81   7.25   7.00  
 0.400  3521.   -1.71  4.89  0.377    0.000   7.71   8.09   7.20   6.63   6.40  
 0.500  3682.   -1.44  4.80  0.467    0.000   7.09   7.43   6.60   6.00   5.79  
 0.600  3984.   -1.15  4.72  0.562    0.000   6.43   6.72   5.96   5.31   5.15  
 0.700  4430.   -0.84  4.66  0.648    0.000   5.74   5.98   5.32   4.71   4.60  
 0.800  4896.   -0.55  4.60  0.742    0.000   5.08   5.27   4.73   4.25   4.17  
 0.900  5325.   -0.27  4.52  0.863    0.066   4.48   4.62   4.17   3.79   3.73  
 1.000  5732.    0.01  4.41  1.028    0.306   3.87   3.98   3.61   3.30   3.26  
 1.100  5971.    0.27  4.26  1.281    0.574   3.28   3.37   3.04   2.77   2.73  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =   8.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.070  1626.   -4.30  5.38  0.090    0.000  15.26  16.37  14.07  12.96  12.09  
 0.072  1789.   -4.12  5.38  0.091    0.000  14.43  15.54  13.16  12.34  11.69  
 0.075  2036.   -3.89  5.39  0.091    0.000  13.56  14.74  12.24  11.67  11.34  
 0.080  2344.   -3.58  5.35  0.099    0.000  12.28  13.41  11.35  10.92  10.64  
 0.090  2645.   -3.25  5.29  0.113    0.000  11.47  12.32  10.70  10.21   9.90  
 0.100  2812.   -3.06  5.25  0.124    0.000  11.01  11.69  10.30   9.78   9.48  
 0.200  3264.   -2.31  5.06  0.219    0.000   9.17   9.62   8.61   8.07   7.81  
 0.300  3416.   -1.95  4.95  0.303    0.000   8.30   8.71   7.78   7.22   6.97  
 0.400  3522.   -1.70  4.88  0.379    0.000   7.70   8.08   7.19   6.62   6.38  
 0.500  3686.   -1.44  4.79  0.469    0.000   7.07   7.41   6.58   5.98   5.77  
 0.600  4001.   -1.13  4.71  0.566    0.000   6.40   6.68   5.93   5.28   5.12  
 0.700  4467.   -0.81  4.65  0.656    0.000   5.69   5.92   5.27   4.66   4.56  
 0.800  4958.   -0.50  4.58  0.761    0.000   4.99   5.17   4.64   4.17   4.10  
 0.900  5420.   -0.19  4.47  0.914    0.063   4.30   4.43   4.01   3.64   3.59  
 1.000  5772.    0.15  4.29  1.186    0.306   3.54   3.65   3.29   2.98   2.94  
!-----------------------------------------------------------------------------------------------



!  t (Gyr) =  10.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    My    Mz    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.070  1626.   -4.30  5.38  0.090    0.000  15.26  16.37  14.07  12.96  12.09  
 0.072  1790.   -4.12  5.38  0.091    0.000  14.42  15.54  13.16  12.34  11.69  
 0.075  2037.   -3.89  5.39  0.091    0.000  13.56  14.74  12.24  11.67  11.34  
 0.080  2345.   -3.58  5.35  0.099    0.000  12.28  13.41  11.35  10.92  10.64  
 0.090  2646.   -3.25  5.29  0.113    0.000  11.47  12.32  10.70  10.21   9.90  
 0.100  2812.   -3.06  5.25  0.124    0.000  11.01  11.69  10.29   9.78   9.48  
 0.200  3265.   -2.31  5.05  0.220    0.000   9.16   9.61   8.60   8.06   7.80  
 0.300  3416.   -1.95  4.95  0.304    0.000   8.29   8.70   7.76   7.21   6.96  
 0.400  3524.   -1.70  4.88  0.380    0.000   7.70   8.07   7.18   6.61   6.38  
 0.500  3689.   -1.43  4.79  0.471    0.000   7.06   7.40   6.57   5.97   5.76  
 0.600  4013.   -1.12  4.71  0.569    0.000   6.38   6.66   5.91   5.26   5.10  
 0.700  4493.   -0.79  4.64  0.662    0.000   5.65   5.88   5.23   4.63   4.54  
 0.800  5002.   -0.47  4.56  0.776    0.000   4.91   5.09   4.57   4.12   4.05  
 0.900  5495.   -0.12  4.42  0.964    0.063   4.14   4.27   3.86   3.50   3.45  
!-----------------------------------------------------------------------------------------------
